PL_FOOTNOTE,ACK,PARAGRAPH_ACK,LONG_AFFILIATION,EMAIL,BOLD_ACK,LONG_ACK,vspace_bib,bref_size,cserver_size,js_style,nbPages,space,idConfiguration
False,True,True,False,False,True,True,4.31,0.77,0.87,\footnotesize,5,550.4357452392578,36
True,True,False,False,True,False,True,2.82,0.73,0.6,\footnotesize,5,575.3417510986328,37
False,True,False,True,True,False,True,2.57,0.91,0.7,\footnotesize,5,575.3417510986328,38
True,True,True,False,False,True,False,2.04,0.82,0.7,\scriptsize,5,616.1887435913086,39
False,False,True,False,False,True,False,1.94,0.74,0.9,\scriptsize,5,659.0287704467773,40
True,True,True,True,True,False,False,1.25,0.88,0.75,\scriptsize,5,600.2487335205078,41
False,True,True,True,True,True,False,2.22,0.87,0.82,\tiny,4,25.9036865234375,42
True,True,False,True,True,False,False,3.55,0.72,0.83,\footnotesize,5,541.4687652587891,43
False,True,True,True,True,False,False,3.3,0.85,0.71,\tiny,4,25.9036865234375,44
True,True,True,False,True,True,True,2.97,0.89,0.65,\footnotesize,5,525.3297271728516,45
True,True,True,True,True,False,True,2.75,0.91,0.73,\footnotesize,5,501.24476623535156,46
True,True,False,True,False,True,True,1.12,0.8,0.82,\footnotesize,5,525.3297271728516,47
True,True,False,True,True,True,False,2.28,0.8,0.87,\scriptsize,5,600.2487335205078,48
False,True,True,False,True,True,True,4.45,0.87,0.86,\tiny,4,25.9036865234375,49
False,True,True,False,True,True,True,3.13,0.85,0.73,\scriptsize,5,625.1557846069336,50
True,True,True,True,False,True,False,3.33,0.77,0.83,\tiny,4,21.41973876953125,51
False,False,False,False,True,False,True,4.31,0.91,0.76,\tiny,4,25.9036865234375,52
False,True,True,True,True,True,True,2.39,0.77,0.78,\scriptsize,5,625.1557846069336,53
False,True,True,True,True,False,False,3.75,0.73,0.61,\footnotesize,5,625.1557846069336,54
False,True,True,True,True,True,False,2.05,0.72,0.72,\tiny,4,25.9036865234375,55
True,True,False,True,True,True,False,1.61,0.94,0.65,\footnotesize,5,550.4357452392578,56
False,False,True,True,False,True,False,3.66,0.95,0.65,\footnotesize,5,625.1557846069336,57
False,False,True,True,False,False,False,1.48,0.8,0.82,\footnotesize,5,600.2487335205078,58
True,False,True,True,False,True,True,3.98,0.89,0.73,\footnotesize,5,575.3417510986328,59
True,False,False,False,False,True,False,1.9,0.96,0.81,\scriptsize,5,616.1887435913086,60
True,False,True,False,False,True,True,1.5,0.99,0.65,\scriptsize,5,625.1557846069336,61
True,False,True,True,False,True,True,3.53,0.76,0.65,\tiny,4,25.9036865234375,62
True,True,True,False,False,True,True,2.42,0.95,0.63,\tiny,4,21.41973876953125,63
False,True,True,False,True,False,True,1.02,0.82,0.77,\tiny,4,25.9036865234375,64
False,True,False,True,False,False,False,2.15,0.77,0.61,\scriptsize,4,25.9036865234375,65
True,False,True,False,True,False,False,3.21,0.88,0.72,\scriptsize,5,659.0287704467773,66
False,True,False,False,False,True,False,2.79,0.89,0.73,\scriptsize,5,659.0287704467773,67
True,False,False,True,True,True,True,4.26,0.96,0.8,\footnotesize,5,516.3637237548828,68
True,True,True,False,True,False,True,4.96,0.81,0.6,\footnotesize,5,566.3757476806641,69
False,False,True,True,True,False,False,1.65,0.9,0.71,\footnotesize,5,600.2487335205078,70
True,False,True,True,True,True,True,3.0,0.96,0.83,\tiny,4,25.9036865234375,71
False,True,False,True,False,False,False,4.65,0.84,0.84,\tiny,4,25.9036865234375,72
False,False,False,False,False,False,True,4.02,0.98,0.68,\scriptsize,4,21.41973876953125,73
True,False,False,True,True,False,False,2.1,0.98,0.83,\footnotesize,5,525.3297271728516,74
False,False,False,True,False,True,True,1.41,0.81,0.69,\scriptsize,4,25.9036865234375,75
True,True,False,True,True,False,False,2.67,0.7,0.61,\scriptsize,4,22.313720703125,76
False,True,False,False,True,True,True,3.67,0.86,0.86,\footnotesize,5,566.3757476806641,77
False,False,False,False,False,False,True,3.12,0.7,0.86,\tiny,4,25.90374755859375,78
True,False,True,True,False,True,False,3.88,0.85,0.69,\scriptsize,5,674.9687728881836,79
False,False,True,False,True,True,False,4.11,0.91,0.64,\scriptsize,4,25.9036865234375,80
True,False,False,True,True,True,True,4.98,0.88,0.74,\scriptsize,5,650.0617904663086,81
False,False,True,False,False,False,True,4.25,0.92,0.81,\tiny,4,25.9036865234375,82
True,True,True,True,False,False,True,2.74,0.93,0.65,\footnotesize,5,525.3297271728516,83
True,True,True,False,True,False,False,1.75,0.72,0.65,\scriptsize,5,633.1257553100586,84
False,False,True,False,False,True,False,1.87,0.71,0.82,\tiny,4,25.90374755859375,85
False,False,False,False,True,True,True,1.33,0.71,0.71,\scriptsize,4,25.9036865234375,86
True,True,False,False,True,False,True,3.38,0.99,0.64,\scriptsize,5,633.1257553100586,87
True,False,False,False,False,True,True,1.44,0.83,0.78,\footnotesize,5,550.4357452392578,88
False,False,False,True,False,False,False,1.92,0.75,0.6,\scriptsize,4,25.9036865234375,89
False,True,True,True,True,True,True,2.53,0.88,0.65,\scriptsize,5,641.0957870483398,90
False,False,True,True,False,True,True,1.99,0.94,0.66,\tiny,4,25.90374755859375,91
False,True,False,True,True,True,False,2.68,0.89,0.74,\tiny,4,25.90374755859375,92
False,False,False,True,False,True,True,3.38,0.87,0.76,\tiny,4,25.90374755859375,93
False,True,True,False,True,False,True,4.91,0.75,0.61,\scriptsize,4,25.9036865234375,94
False,True,True,True,True,True,True,2.14,0.96,0.73,\scriptsize,5,600.2487335205078,95
True,True,True,True,False,False,False,2.19,0.88,0.63,\tiny,4,25.9036865234375,96
True,True,True,False,True,True,False,1.57,0.73,0.8,\scriptsize,5,575.3417510986328,97
False,True,True,False,False,False,True,4.93,0.83,0.82,\tiny,4,25.9036865234375,98
False,False,False,True,False,False,False,3.75,0.76,0.74,\scriptsize,4,25.9036865234375,99
True,True,False,False,True,False,True,3.17,0.87,0.64,\footnotesize,5,558.4057769775391,100
False,True,True,True,False,True,False,3.44,0.94,0.71,\footnotesize,5,550.4357452392578,101
False,True,True,False,True,True,False,1.56,0.9,0.63,\scriptsize,5,650.0617904663086,102
False,False,True,True,False,True,False,4.39,0.79,0.84,\tiny,4,25.90374755859375,103
True,False,True,False,True,False,False,3.48,0.85,0.89,\tiny,4,25.9036865234375,104
True,True,False,True,False,True,True,2.36,0.93,0.8,\tiny,5,674.9687728881836,105
False,False,True,True,True,True,False,3.86,0.98,0.79,\tiny,4,25.9036865234375,106
True,True,False,False,False,False,False,1.32,0.76,0.73,\tiny,4,25.9036865234375,107
False,False,True,False,False,True,False,4.02,1.0,0.83,\scriptsize,5,641.0957870483398,108
True,True,False,True,True,False,True,4.08,0.91,0.72,\scriptsize,5,641.0957870483398,109
False,False,True,False,False,False,True,4.78,0.82,0.67,\footnotesize,5,650.0617904663086,110
True,True,True,False,False,False,False,2.88,0.94,0.67,\footnotesize,5,516.3637237548828,111
False,False,False,False,True,True,True,1.11,0.77,0.75,\footnotesize,5,600.2487335205078,112
False,False,False,False,True,True,False,4.22,0.72,0.72,\footnotesize,5,641.0957870483398,113
False,True,True,False,False,True,True,1.33,0.87,0.67,\tiny,4,25.9036865234375,114
False,False,False,True,True,True,False,2.29,0.83,0.67,\tiny,4,25.90374755859375,115
False,True,False,False,True,False,True,1.26,0.85,0.8,\tiny,4,25.90374755859375,116
True,False,True,True,True,True,True,4.14,0.72,0.76,\tiny,4,25.9036865234375,117
True,False,False,False,False,True,True,4.36,0.8,0.65,\footnotesize,5,591.2827301025391,118
True,True,False,True,True,True,False,3.8,0.78,0.7,\footnotesize,5,558.4057769775391,119
True,True,True,True,True,False,False,4.65,0.89,0.71,\scriptsize,5,625.1557846069336,120
True,False,True,False,False,True,False,1.03,0.78,0.81,\tiny,4,25.9036865234375,121
True,True,True,False,False,False,False,2.33,0.81,0.65,\scriptsize,5,641.0957870483398,122
True,False,True,True,True,True,False,1.58,0.97,0.87,\scriptsize,5,307.1437683105469,123
False,True,False,True,False,True,True,4.09,0.81,0.84,\tiny,4,25.90374755859375,124
False,True,True,True,False,False,True,4.16,0.97,0.82,\scriptsize,5,616.1887435913086,125
False,False,False,True,True,True,True,2.97,0.87,0.88,\scriptsize,5,641.0957870483398,126
True,True,True,True,False,False,False,1.5,0.78,0.69,\scriptsize,5,625.1557846069336,127
True,False,True,True,False,False,True,1.93,0.98,0.71,\footnotesize,5,550.4357452392578,128
False,True,True,False,True,False,False,3.86,0.97,0.61,\tiny,4,25.9036865234375,129
True,False,True,False,False,False,False,2.24,0.81,0.7,\scriptsize,5,659.0287704467773,130
True,False,True,True,True,False,True,4.43,0.76,0.64,\tiny,4,25.9036865234375,131
False,False,True,True,False,False,True,3.73,0.72,0.69,\footnotesize,5,641.0957870483398,132
True,False,True,False,False,True,False,4.36,0.84,0.9,\footnotesize,5,525.3297271728516,133
True,True,False,False,True,False,True,3.32,0.89,0.7,\scriptsize,5,633.1257553100586,134
True,True,True,True,False,False,False,2.3,0.81,0.63,\scriptsize,5,641.0957870483398,135
True,True,False,False,True,False,False,1.58,0.89,0.7,\footnotesize,5,550.4357452392578,136
True,True,False,True,True,True,True,4.11,0.96,0.75,\footnotesize,5,525.3297271728516,137
False,True,False,False,False,True,True,1.92,0.98,0.7,\scriptsize,5,650.0617904663086,138
False,False,True,False,False,True,False,3.85,0.9,0.85,\footnotesize,5,591.2827301025391,139
False,False,True,True,False,False,True,3.13,0.8,0.7,\footnotesize,5,625.1557846069336,140
False,False,True,True,False,False,False,1.4,0.89,0.68,\tiny,4,25.90374755859375,141
True,True,True,True,True,False,True,1.53,0.75,0.7,\footnotesize,5,516.3637237548828,142
True,True,True,False,False,True,True,1.9,0.79,0.8,\footnotesize,5,490.86476135253906,143
True,True,True,False,True,False,True,1.44,0.81,0.63,\scriptsize,5,625.1557846069336,144
False,True,False,True,False,True,True,3.58,0.94,0.79,\footnotesize,5,575.3417510986328,145
True,False,False,False,True,False,True,2.1,0.74,0.62,\tiny,4,25.90374755859375,146
False,False,True,False,False,True,False,3.52,0.89,0.75,\tiny,4,25.90374755859375,147
False,True,True,True,False,True,True,4.11,0.88,0.8,\scriptsize,5,616.1887435913086,148
False,True,False,False,True,False,True,3.09,0.9,0.75,\tiny,4,25.90374755859375,149
True,False,False,False,False,False,False,4.25,0.92,0.83,\scriptsize,5,625.1557846069336,150
True,True,True,False,False,False,True,1.76,0.97,0.67,\footnotesize,5,525.3297271728516,151
False,True,False,False,True,False,True,2.85,0.76,0.88,\tiny,4,25.9036865234375,152
False,True,False,True,True,False,False,1.48,0.8,0.8,\footnotesize,5,583.3127593994141,153
True,True,True,True,True,False,True,4.94,0.79,0.81,\scriptsize,5,600.2487335205078,154
False,False,True,True,True,False,False,2.33,0.92,0.89,\footnotesize,5,575.3417510986328,155
True,True,True,False,True,True,True,2.91,0.95,0.85,\footnotesize,5,461.8517761230469,156
False,True,False,False,True,False,False,4.98,0.76,0.77,\scriptsize,5,666.9987411499023,157
False,True,False,True,True,False,False,3.55,0.97,0.63,\footnotesize,5,600.2487335205078,158
True,False,False,False,True,True,True,3.41,0.96,0.69,\tiny,4,25.9036865234375,159
True,True,False,True,True,True,True,1.35,0.94,0.86,\scriptsize,5,282.5807800292969,160
False,True,True,False,False,False,True,3.98,0.98,0.61,\tiny,4,25.9036865234375,161
True,False,False,True,False,True,True,3.66,0.79,0.84,\tiny,4,25.9036865234375,162
True,False,True,True,False,True,False,2.58,0.76,0.64,\footnotesize,5,600.2487335205078,163
False,False,False,False,False,False,False,2.11,0.7,0.66,\scriptsize,4,25.90374755859375,164
True,False,True,True,False,False,True,3.39,0.75,0.77,\tiny,4,25.9036865234375,165
True,True,False,True,False,True,True,3.83,0.82,0.7,\tiny,4,25.9036865234375,166
False,False,False,False,False,False,True,3.94,0.82,0.87,\scriptsize,5,674.9687728881836,167
False,True,True,False,False,False,True,4.82,0.75,0.79,\tiny,4,25.9036865234375,168
True,False,False,True,True,False,False,4.2,0.74,0.79,\scriptsize,5,641.0957870483398,169
True,True,False,True,True,False,False,2.64,0.91,0.79,\scriptsize,5,625.1557846069336,170
True,True,False,True,True,True,False,1.61,0.89,0.67,\footnotesize,5,550.4357452392578,171
True,False,False,True,False,False,True,4.19,0.71,0.8,\scriptsize,5,641.0957870483398,172
False,False,False,False,False,False,True,4.03,0.81,0.77,\tiny,4,25.90374755859375,173
False,True,True,False,True,False,True,4.12,0.73,0.6,\tiny,4,25.90374755859375,174
True,False,False,False,True,True,False,2.63,0.91,0.66,\tiny,4,25.9036865234375,175
False,True,False,False,False,False,False,1.84,0.81,0.82,\scriptsize,5,650.0617904663086,176
True,False,True,False,True,True,True,1.89,0.91,0.67,\footnotesize,5,575.3417510986328,177
True,True,True,False,False,True,False,1.12,0.79,0.64,\tiny,4,25.90362548828125,178
True,True,False,False,True,False,True,3.92,0.83,0.77,\scriptsize,5,616.1887435913086,179
False,False,True,False,False,False,False,4.27,0.83,0.88,\scriptsize,5,641.0957870483398,180
True,True,False,False,False,False,True,2.21,0.8,0.81,\scriptsize,5,608.2187652587891,181
True,False,False,True,False,True,False,1.15,0.97,0.71,\footnotesize,5,550.4357452392578,182
True,False,True,True,False,True,False,2.92,0.78,0.76,\footnotesize,5,566.3757476806641,183
True,True,False,True,False,True,False,2.3,0.97,0.71,\tiny,4,25.9036865234375,184
False,True,True,False,True,False,False,1.09,0.73,0.79,\scriptsize,5,633.1257553100586,185
True,True,False,True,True,False,False,1.48,0.72,0.8,\scriptsize,5,625.1557846069336,186
False,False,True,True,False,True,False,1.92,0.8,0.72,\tiny,4,25.90374755859375,187
True,True,True,False,True,False,False,3.23,0.78,0.75,\tiny,4,25.9036865234375,188
True,False,False,False,False,False,False,3.78,0.72,0.69,\scriptsize,5,674.9687728881836,189
False,False,True,True,True,False,False,4.83,0.79,0.88,\scriptsize,5,659.0287704467773,190
False,True,True,False,False,False,False,2.65,0.86,0.84,\footnotesize,5,550.4357452392578,191
True,False,False,False,False,False,True,1.36,0.87,0.86,\tiny,4,25.9036865234375,192
False,True,True,False,True,False,True,1.62,0.95,0.75,\scriptsize,5,625.1557846069336,193
True,True,True,True,True,False,True,1.82,0.78,0.83,\footnotesize,5,490.6387481689453,194
False,True,False,True,False,True,True,2.42,0.88,0.83,\tiny,4,25.9036865234375,195
True,True,True,True,True,True,False,4.26,0.76,0.88,\footnotesize,5,496.06471252441406,196
False,True,True,False,False,False,False,4.04,0.94,0.7,\tiny,4,25.9036865234375,197
False,False,False,True,True,False,False,3.12,0.96,0.85,\scriptsize,5,641.0957870483398,198
True,False,True,False,True,True,False,2.26,0.91,0.85,\scriptsize,5,616.1887435913086,199
True,False,False,True,False,True,True,4.98,0.77,0.78,\footnotesize,5,575.3417510986328,200
True,False,True,False,False,False,True,4.74,0.94,0.7,\tiny,4,25.9036865234375,201
True,False,True,False,False,False,False,4.22,0.8,0.68,\scriptsize,5,674.9687728881836,202
True,True,False,False,False,False,False,1.35,0.75,0.75,\tiny,4,25.90374755859375,203
True,False,False,True,False,True,True,3.39,0.98,0.88,\footnotesize,5,525.3297271728516,204
False,True,False,False,False,True,False,1.03,0.91,0.71,\scriptsize,5,659.0287704467773,205
False,False,False,True,False,True,False,1.68,0.73,0.69,\tiny,4,25.90374755859375,206
False,False,True,True,True,False,True,4.26,0.74,0.83,\tiny,4,25.90374755859375,207
False,True,True,False,True,True,True,4.28,0.74,0.74,\scriptsize,5,650.0617904663086,208
False,True,True,False,True,False,True,2.43,0.82,0.77,\footnotesize,5,550.4357452392578,209
True,False,True,True,True,False,True,3.66,0.71,0.87,\scriptsize,5,641.0957870483398,210
False,True,False,True,False,True,False,4.64,0.91,0.88,\scriptsize,5,625.1557846069336,211
False,False,True,True,True,True,False,1.19,0.79,0.67,\footnotesize,5,625.1557846069336,212
False,True,True,False,True,False,False,2.48,0.72,0.83,\footnotesize,5,566.3757476806641,213
True,True,False,False,False,True,True,2.75,0.92,0.82,\tiny,4,25.9036865234375,214
True,False,False,False,True,True,False,3.95,0.72,0.71,\tiny,4,25.90374755859375,215
False,True,True,True,False,True,True,3.62,1.0,0.85,\footnotesize,5,503.7107696533203,216
False,False,False,True,False,False,True,1.19,0.9,0.63,\footnotesize,5,625.1557846069336,217
True,False,True,False,True,True,True,4.98,0.89,0.81,\footnotesize,5,550.4357452392578,218
False,True,True,False,True,True,True,4.96,0.88,0.84,\footnotesize,5,516.3637237548828,219
True,True,False,False,True,True,True,4.68,0.75,0.83,\tiny,4,25.9036865234375,220
False,True,True,False,True,False,False,1.1,0.78,0.83,\footnotesize,5,558.4057769775391,221
False,True,True,True,True,True,True,3.2,0.85,0.68,\tiny,4,25.9036865234375,222
False,True,False,True,False,False,True,1.91,0.83,0.81,\scriptsize,5,650.0617904663086,223
False,True,False,True,True,True,False,3.87,0.99,0.84,\scriptsize,5,625.1557846069336,224
False,True,True,True,False,False,False,4.78,0.78,0.66,\tiny,4,25.9036865234375,225
True,False,True,False,False,True,True,4.17,0.74,0.73,\scriptsize,5,659.0287704467773,226
True,True,False,False,True,True,True,2.56,0.92,0.79,\footnotesize,5,525.3297271728516,227
True,False,True,False,True,True,True,1.85,0.95,0.64,\tiny,4,25.9036865234375,228
False,False,True,True,True,True,False,1.48,0.79,0.68,\scriptsize,4,25.9036865234375,229
True,False,False,True,False,False,False,3.24,0.76,0.83,\footnotesize,5,550.4357452392578,230
True,False,True,False,True,False,True,1.43,0.84,0.84,\footnotesize,5,541.4687652587891,231
False,False,True,False,False,True,False,2.54,0.85,0.68,\footnotesize,5,616.1887435913086,232
False,False,True,True,True,False,False,2.56,0.86,0.63,\footnotesize,5,633.1257553100586,233
True,True,False,True,False,False,True,4.79,1.0,0.76,\footnotesize,5,507.02772521972656,234
False,False,False,True,True,True,True,1.82,0.8,0.72,\footnotesize,5,616.1887435913086,235
True,True,True,False,True,True,False,4.58,0.96,0.74,\tiny,4,24.74371337890625,236
True,False,False,True,False,False,False,2.25,0.91,0.86,\footnotesize,5,525.3297271728516,237
False,True,False,True,True,False,False,2.37,0.73,0.61,\tiny,4,25.90374755859375,238
False,False,False,True,False,False,False,4.87,0.76,0.82,\footnotesize,5,608.2187652587891,239
False,True,False,False,True,True,True,1.19,0.71,0.87,\tiny,4,25.9036865234375,240
False,False,False,True,True,True,False,2.22,0.71,0.86,\scriptsize,5,659.0287704467773,241
False,True,True,False,False,False,False,2.29,0.84,0.62,\footnotesize,5,600.2487335205078,242
True,False,False,True,False,False,False,1.43,0.75,0.77,\scriptsize,5,625.1557846069336,243
True,False,True,False,False,False,False,3.56,0.94,0.63,\footnotesize,5,575.3417510986328,244
False,False,False,True,False,True,True,2.61,0.99,0.76,\footnotesize,5,583.3127593994141,245
True,False,False,False,False,False,True,1.13,0.83,0.67,\scriptsize,5,659.0287704467773,246
True,True,True,False,True,False,False,3.08,0.94,0.89,\tiny,5,641.0957870483398,247
True,False,True,True,False,True,True,3.95,0.75,0.89,\footnotesize,5,516.3637237548828,248
False,False,False,True,True,True,True,3.44,0.74,0.84,\tiny,4,25.90374755859375,249
True,True,False,False,False,True,True,4.48,0.79,0.68,\tiny,4,25.90374755859375,250
False,True,False,True,True,False,True,4.63,0.86,0.64,\footnotesize,5,625.1557846069336,251
False,False,False,True,False,True,True,1.2,0.92,0.74,\tiny,4,25.90374755859375,252
False,True,False,False,False,False,True,3.86,0.93,0.73,\scriptsize,5,650.0617904663086,253
True,False,False,False,True,True,True,3.92,0.92,0.67,\tiny,4,25.90374755859375,254
True,True,False,False,False,True,False,3.36,0.8,0.85,\scriptsize,5,625.1557846069336,255
False,True,True,False,True,True,True,2.98,0.71,0.89,\scriptsize,5,608.2187652587891,256
False,False,False,True,True,True,True,3.96,0.8,0.77,\tiny,4,25.90374755859375,257
True,True,True,False,False,False,True,1.55,0.7,0.81,\scriptsize,5,583.3127593994141,258
False,True,False,False,True,False,False,3.09,0.85,0.84,\scriptsize,5,650.0617904663086,259
True,False,False,True,True,True,False,4.62,0.71,0.88,\footnotesize,5,550.4357452392578,260
False,False,False,True,False,False,False,2.43,0.87,0.73,\tiny,4,25.90374755859375,261
False,True,True,True,True,True,False,4.9,0.74,0.87,\footnotesize,5,558.4057769775391,262
True,False,True,True,False,False,False,1.95,0.82,0.85,\footnotesize,5,541.4687652587891,263
True,False,False,False,True,True,True,1.78,0.79,0.66,\footnotesize,5,575.3417510986328,264
False,True,True,False,True,True,False,1.18,0.97,0.7,\scriptsize,5,625.1557846069336,265
True,True,True,True,True,True,True,4.17,0.99,0.75,\tiny,5,650.0617904663086,266
False,False,False,False,False,True,False,1.69,0.88,0.61,\tiny,4,25.90374755859375,267
False,False,False,False,True,True,False,2.72,0.89,0.74,\tiny,4,25.90374755859375,268
False,True,True,True,True,False,True,1.14,0.77,0.88,\tiny,4,25.9036865234375,269
True,False,False,False,True,False,False,2.29,0.71,0.77,\scriptsize,5,659.0287704467773,270
True,True,False,True,False,False,False,1.82,0.71,0.7,\scriptsize,5,650.0617904663086,271
False,True,False,False,False,True,True,4.74,0.84,0.62,\tiny,4,25.90374755859375,272
False,True,False,False,True,True,True,4.78,0.97,0.9,\footnotesize,5,550.4357452392578,273
True,False,True,True,True,True,False,2.43,0.72,0.64,\tiny,4,25.90374755859375,274
False,True,False,True,False,True,True,2.94,0.97,0.8,\scriptsize,5,633.1257553100586,275
True,True,True,True,True,True,False,3.16,0.79,0.69,\footnotesize,5,516.3637237548828,276
True,True,False,False,False,False,True,1.8,0.86,0.74,\scriptsize,5,625.1557846069336,277
True,False,False,False,True,True,True,2.62,0.81,0.61,\tiny,4,25.90374755859375,278
False,False,False,True,True,False,True,3.01,0.88,0.74,\tiny,4,25.9036865234375,279
False,False,False,False,True,True,False,3.8,0.77,0.78,\tiny,4,25.90374755859375,280
False,False,False,True,True,True,True,4.27,0.84,0.66,\footnotesize,5,641.0957870483398,281
True,False,False,True,True,True,True,1.29,0.75,0.64,\footnotesize,5,600.2487335205078,282
False,False,True,False,False,False,True,3.6,0.76,0.71,\scriptsize,4,25.9036865234375,283
True,False,False,True,False,True,False,2.93,0.96,0.76,\tiny,4,25.9036865234375,284
True,False,True,True,False,True,True,3.12,0.86,0.82,\tiny,4,25.9036865234375,285
False,True,False,False,True,False,False,4.93,0.81,0.67,\tiny,4,25.90374755859375,286
False,True,True,False,True,True,True,4.9,0.72,0.8,\tiny,4,25.9036865234375,287
True,True,False,True,True,False,False,1.35,0.76,0.89,\footnotesize,5,525.3297271728516,288
True,False,False,True,False,True,True,4.37,0.86,0.73,\tiny,4,25.90374755859375,289
True,True,True,False,True,True,True,2.15,1.0,0.72,\tiny,5,659.0287704467773,290
False,True,True,True,True,False,False,4.49,0.81,0.88,\tiny,4,25.9036865234375,291
False,False,False,True,False,True,True,3.16,0.87,0.66,\tiny,4,25.90374755859375,292
True,True,True,True,False,False,False,1.76,0.84,0.73,\tiny,4,25.9036865234375,293
True,True,False,False,False,False,True,3.3,0.73,0.84,\scriptsize,5,600.2487335205078,294
False,True,True,True,True,True,True,4.66,0.97,0.61,\scriptsize,5,650.0617904663086,295
False,True,False,True,False,False,False,3.27,0.83,0.9,\tiny,4,25.9036865234375,296
True,True,False,True,True,True,False,4.1,0.91,0.6,\scriptsize,5,659.0287704467773,297
False,True,True,True,False,False,True,4.39,0.86,0.86,\footnotesize,5,541.4687652587891,298
False,True,True,False,False,True,False,3.88,0.72,0.62,\footnotesize,5,608.2187652587891,299
False,True,True,False,False,True,True,4.61,0.98,0.81,\footnotesize,5,516.3637237548828,300
False,True,True,False,False,True,False,2.68,0.77,0.63,\tiny,4,25.9036865234375,301
True,True,True,True,False,False,True,1.44,0.75,0.83,\footnotesize,5,497.5307159423828,302
False,False,True,False,True,True,True,1.91,0.78,0.67,\tiny,4,25.90374755859375,303
True,False,False,True,False,True,False,1.5,0.82,0.78,\scriptsize,5,625.1557846069336,304
False,True,False,False,False,False,False,2.05,0.71,0.71,\footnotesize,5,625.1557846069336,305
False,True,True,True,True,False,True,1.44,0.88,0.67,\footnotesize,5,566.3757476806641,306
False,True,False,False,True,True,False,2.29,0.95,0.9,\tiny,4,25.9036865234375,307
True,False,False,True,True,True,True,4.01,0.94,0.85,\tiny,4,25.9036865234375,308
False,False,True,True,False,True,True,2.55,0.98,0.71,\tiny,4,25.90374755859375,309
True,False,True,False,True,False,True,3.78,0.96,0.65,\scriptsize,5,674.9687728881836,310
